Tanggal,RH_avg,RR - Curah hujan (mm),ss - Lama penyinaran matahari (jam),ff_x,ddd_x,ff_avg,ddd_car
1/1/2018,86,0.7,8.1,4,300,1,N 
2/1/2018,84,,1.5,4,80,1,N 
3/1/2018,82,0,6.2,7,120,2,N 
4/1/2018,82,0,10,7,280,1,N 
5/1/2018,88,0,6.8,10,330,2,N 
6/1/2018,92,2.8,4.1,10,240,1,N 
7/1/2018,93,70.1,6.5,7,340,1,NW
8/1/2018,90,27.8,0,5,330,2,N 
9/1/2018,87,0.1,4.3,4,270,1,N 
10/1/2018,87,13.3,6.3,10,300,3,NW
11/1/2018,85,5.5,4.8,9,270,4,NW
12/1/2018,81,41.7,1.4,9,320,3,NW
13-01-2018,83,,0.4,15,310,3,N 
14-01-2018,87,2,2.6,4,300,1,NW
15-01-2018,83,0.4,,10,320,4,NW
16-01-2018,84,3.4,0,10,330,4,NW
17-01-2018,83,0,0.4,8,190,2,N 
18-01-2018,88,7,0.4,7,310,2,NW
19-01-2018,87,14.7,3.3,11,330,2,N 
20-01-2018,90,31.9,3.6,13,270,2,N 
21-01-2018,87,49.5,2.3,9,330,4,NW
22-01-2018,91,8888,1.5,10,330,3,NW
23-01-2018,90,16.6,0,10,330,2,NW
24-01-2018,92,1.8,0,9,240,2,NW
25-01-2018,86,8.1,2,10,310,4,NW
26-01-2018,83,3.4,3.2,13,310,6,NW
27-01-2018,82,8888,6.4,14,310,6,NW
28-01-2018,85,0.4,6.5,18,320,6,NW
29-01-2018,90,23.3,3.5,11,320,5,NW
30-01-2018,85,8,0.8,14,320,6,NW
31-01-2018,88,8.6,6.2,9,310,4,NW
1/2/2018,87,1.1,0,11,310,2,NW
2/2/2018,89,21.2,1.2,12,330,2,NW
3/2/2018,78,7,4.3,14,300,5,NW
4/2/2018,84,0,7.3,6,220,2,N 
5/2/2018,85,11.9,6.6,9,300,4,NW
6/2/2018,80,4.2,7.8,9,320,3,NW
7/2/2018,84,,6.5,11,290,4,NW
8/2/2018,86,25.2,,12,300,5,NW
9/2/2018,90,5,4.5,8,360,2,N 
10/2/2018,89,12.2,5,6,180,1,N 
11/2/2018,88,11.5,7.5,8,310,3,NW
12/2/2018,82,8888,2.8,12,310,5,NW
13-02-2018,80,,7.5,12,320,6,NW
14-02-2018,77,8888,,11,330,4,NW
15-02-2018,81,0,,10,310,5,NW
16-02-2018,82,13,2.8,10,310,4,NW
17-02-2018,81,1.2,5.5,11,300,3,NW
18-02-2018,89,0,7.3,10,130,2,N 
19-02-2018,88,89.7,3.6,4,260,1,N 
20-02-2018,90,1.8,,11,200,2,N 
21-02-2018,90,39.1,6.9,9,320,2,N 
22-02-2018,88,8.1,7,11,210,2,N 
23-02-2018,86,2.2,4.2,7,330,1,N 
24-02-2018,86,8888,2.3,8,300,2,N 
25-02-2018,84,0,1.3,5,180,1,N 
26-02-2018,92,0,9,4,90,1,N 
27-02-2018,87,47,3.3,4,230,1,N 
28-02-2018,91,0,8.8,8,320,1,N 
1/3/2018,88,38.1,3,8,330,1,N 
2/3/2018,87,17.3,,4,200,1,N 
3/3/2018,87,3.9,3.2,8,320,2,N 
4/3/2018,88,0.2,3.6,8,240,1,N 
5/3/2018,87,2.6,7.2,7,270,2,N 
6/3/2018,88,15.3,5.1,7,320,2,N 
7/3/2018,87,8888,,4,340,2,NW
8/3/2018,85,2.8,2.5,8,320,2,NW
9/3/2018,84,,,5,170,2,N 
10/3/2018,86,2.5,7.3,7,330,1,N 
11/3/2018,85,1,3.7,7,300,2,N 
12/3/2018,87,,1.8,8,230,1,N 
13-03-2018,91,5.4,3.4,5,190,2,S 
14-03-2018,90,75.9,1,3,210,1,N 
15-03-2018,86,7.6,1.5,4,180,1,N 
16-03-2018,89,0,8.9,7,330,1,N 
17-03-2018,88,49.6,4.8,6,20,1,N 
18-03-2018,87,13.2,4.4,5,320,1,N 
19-03-2018,90,,3.7,4,180,1,N 
20-03-2018,81,1.9,7.4,6,300,2,NW
21-03-2018,84,0.3,9.7,13,330,4,NW
22-03-2018,86,2,3,12,330,4,NW
23-03-2018,82,0.1,0.6,4,120,1,N 
24-03-2018,82,0,10.2,5,120,1,N 
25-03-2018,82,1,10,4,150,1,N 
26-03-2018,86,0,8.9,5,180,2,NW
27-03-2018,84,,2.5,7,150,2,N 
28-03-2018,83,0.1,,6,230,2,N 
29-03-2018,82,0,,7,200,2,NW
30-03-2018,86,0,9.2,5,320,1,N 
31-03-2018,84,46.5,3,7,330,2,N 
1/4/2018,90,0,10,10,60,1,N 
2/4/2018,85,14.3,5,7,330,2,N 
3/4/2018,81,0,8.2,5,150,1,N 
